,completed
146685,1.0
118040,0.0
59549,0.0
106359,0.0
148054,0.0
46335,1.0
138845,0.0
138607,0.0
123296,0.0
117502,0.0
114212,0.0
136707,0.0
26871,1.0
130234,0.0
137398,0.0
17277,0.0
101838,1.0
132944,1.0
59701,0.0
55866,0.0
80107,0.0
45145,0.0
90713,0.0
66828,0.0
78008,1.0
1979,0.0
46493,1.0
23544,0.0
101305,0.0
65477,1.0
6225,0.0
68850,0.0
90897,0.0
53517,1.0
65289,0.0
145690,0.0
16145,1.0
56133,0.0
125950,1.0
31571,1.0
130807,0.0
3500,0.0
22251,0.0
128870,0.0
146821,0.0
133071,0.0
55819,1.0
80871,1.0
147036,0.0
23493,1.0
129136,0.0
1693,0.0
101262,0.0
102264,0.0
33867,0.0
80047,0.0
144774,0.0
138342,1.0
129794,0.0
56859,0.0
81343,0.0
39306,0.0
81978,0.0
131429,0.0
109133,1.0
134532,0.0
141231,0.0
115143,0.0
27724,0.0
138980,0.0
1186,0.0
144651,0.0
76156,0.0
51159,1.0
32902,0.0
2011,1.0
291,0.0
99058,1.0
146879,0.0
98992,0.0
71090,0.0
48024,1.0
134396,0.0
135456,0.0
105850,0.0
75516,1.0
133068,0.0
28942,0.0
125338,1.0
136606,0.0
128049,0.0
36257,0.0
103388,0.0
140545,0.0
53509,1.0
46675,0.0
75836,1.0
7917,0.0
37436,0.0
48487,0.0
77120,1.0
18559,0.0
78703,0.0
11844,0.0
46534,0.0
4926,0.0
26521,0.0
85128,0.0
26453,0.0
42879,0.0
58601,1.0
40376,1.0
35669,0.0
21023,0.0
44875,0.0
35173,1.0
88153,0.0
59116,0.0
42691,0.0
73058,1.0
99227,0.0
112715,1.0
5793,0.0
71612,1.0
27168,0.0
115140,1.0
24538,0.0
26412,0.0
45921,0.0
25915,0.0
136371,0.0
118278,0.0
36202,0.0
75057,0.0
17936,0.0
118638,0.0
33256,0.0
50191,1.0
47513,1.0
122768,1.0
99061,0.0
4088,0.0
7463,0.0
121743,0.0
69334,0.0
127203,1.0
58259,0.0
131719,1.0
118490,0.0
62059,0.0
62632,0.0
79459,1.0
32001,0.0
129248,0.0
17630,0.0
3909,0.0
24348,0.0
54935,0.0
13231,0.0
14758,0.0
140591,0.0
62298,1.0
112387,0.0
74158,0.0
129722,0.0
43799,0.0
136619,0.0
25074,1.0
100178,1.0
89466,0.0
127302,0.0
85061,0.0
68449,1.0
132555,1.0
82533,0.0
91933,0.0
12527,0.0
54439,1.0
104301,0.0
147513,0.0
67176,0.0
33974,0.0
92232,0.0
117199,0.0
51778,1.0
85296,0.0
86633,0.0
36454,0.0
106121,0.0
63923,0.0
107497,1.0
146567,0.0
19144,0.0
240,0.0
32831,1.0
110879,1.0
37331,0.0
98978,0.0
100879,0.0
135052,1.0
92685,0.0
24701,1.0
41056,0.0
56673,1.0
7122,0.0
89237,0.0
42896,1.0
115232,0.0
61025,1.0
26365,1.0
95900,0.0
64114,0.0
84601,0.0
56563,0.0
78429,0.0
121529,0.0
97231,0.0
43113,0.0
133922,0.0
63593,0.0
140135,0.0
100152,0.0
83558,0.0
31056,1.0
90142,0.0
67691,0.0
85994,0.0
128992,0.0
109099,1.0
73832,0.0
95937,0.0
6546,1.0
39396,0.0
7130,0.0
41103,0.0
51393,0.0
25918,0.0
112905,0.0
88921,0.0
105024,1.0
137364,0.0
44873,0.0
105053,0.0
81965,1.0
108774,0.0
125017,1.0
52913,0.0
30088,0.0
43706,0.0
147379,0.0
16479,0.0
51892,0.0
75271,0.0
48970,0.0
147677,1.0
7815,0.0
109176,0.0
63038,0.0
27472,0.0
56336,0.0
63809,0.0
134631,0.0
44715,1.0
128852,0.0
119979,1.0
116850,1.0
50705,0.0
89798,0.0
36363,0.0
112779,0.0
13874,0.0
128363,0.0
89204,0.0
22551,1.0
23503,0.0
44156,0.0
18620,0.0
71212,1.0
51753,0.0
98351,0.0
136856,0.0
145804,0.0
64460,0.0
93453,0.0
92975,0.0
47798,0.0
65435,0.0
134246,0.0
21246,0.0
49782,0.0
138850,0.0
135633,0.0
52378,1.0
7790,0.0
4023,1.0
16209,0.0
41405,0.0
121602,0.0
69459,1.0
143508,0.0
20727,0.0
71500,0.0
92512,0.0
19562,0.0
105388,0.0
112603,1.0
48060,0.0
29151,1.0
74521,0.0
131683,0.0
88408,0.0
112005,0.0
108431,0.0
11261,0.0
59451,0.0
55077,0.0
43844,1.0
1903,1.0
752,0.0
110910,0.0
21224,0.0
96767,0.0
144591,1.0
100274,0.0
54109,0.0
5306,0.0
43402,0.0
27554,1.0
128457,0.0
55385,0.0
17377,1.0
47226,1.0
18301,0.0
148185,0.0
69537,0.0
59120,0.0
145315,1.0
25770,0.0
74661,0.0
31187,1.0
7338,0.0
147804,0.0
112429,0.0
79501,1.0
44982,0.0
144829,0.0
93800,0.0
64261,0.0
11749,0.0
34130,0.0
93820,0.0
123542,1.0
97974,0.0
24737,0.0
126666,0.0
46630,0.0
123789,0.0
130973,0.0
129342,1.0
83089,0.0
64551,0.0
93609,0.0
141736,0.0
92223,1.0
138126,1.0
69410,0.0
141251,0.0
24191,1.0
48276,0.0
85939,1.0
15707,0.0
82389,0.0
90425,0.0
72066,1.0
93026,0.0
84060,1.0
81046,0.0
60221,0.0
148161,0.0
130739,0.0
10233,0.0
101364,0.0
22841,0.0
125545,0.0
38062,0.0
57466,0.0
142125,0.0
88644,0.0
119611,0.0
141324,1.0
91120,0.0
118962,0.0
30477,1.0
146197,0.0
11028,1.0
11674,0.0
76423,0.0
77552,1.0
63756,0.0
70874,0.0
126886,0.0
142365,0.0
27676,0.0
41207,0.0
133180,0.0
20961,1.0
14854,0.0
99599,1.0
91944,1.0
119129,0.0
65865,0.0
78584,0.0
138398,1.0
35079,0.0
105074,1.0
104868,0.0
54638,0.0
122152,0.0
94709,0.0
95601,1.0
34853,0.0
41705,1.0
45251,0.0
98571,1.0
107019,1.0
82273,0.0
80258,0.0
53450,0.0
25023,0.0
27689,0.0
26918,0.0
20356,0.0
82869,1.0
2445,1.0
133918,0.0
21908,0.0
7204,0.0
93234,0.0
85276,0.0
23537,0.0
46572,0.0
91841,0.0
128061,0.0
96777,0.0
66403,0.0
74547,0.0
81929,0.0
45555,0.0
6935,1.0
57091,1.0
66424,0.0
130236,0.0
23071,0.0
59778,0.0
121603,1.0
63536,1.0
77966,1.0
144526,0.0
122505,1.0
127801,0.0
12978,0.0
93677,0.0
77757,1.0
124997,0.0
7356,1.0
7719,1.0
44430,0.0
62228,0.0
126890,0.0
127272,0.0
71805,0.0
93573,0.0
52532,0.0
9459,1.0
30613,1.0
109155,0.0
140328,0.0
40524,0.0
109289,1.0
58899,1.0
97711,0.0
73891,0.0
49443,1.0
77255,1.0
73105,1.0
133084,0.0
112750,0.0
140057,1.0
130139,1.0
90605,0.0
21824,0.0
31001,0.0
54064,1.0
121739,0.0
111089,0.0
107042,0.0
25792,0.0
52441,0.0
147217,1.0
131404,0.0
55590,0.0
137340,0.0
69755,1.0
23570,0.0
135574,1.0
128561,0.0
12163,1.0
111806,0.0
5707,0.0
42033,1.0
129556,0.0
111965,1.0
79484,0.0
42836,1.0
51787,0.0
68429,0.0
60450,0.0
45944,0.0
98887,0.0
62755,1.0
12840,1.0
111239,0.0
29951,0.0
22740,0.0
34155,0.0
44860,1.0
140106,0.0
66009,0.0
63357,0.0
76316,0.0
42002,1.0
46364,0.0
115322,1.0
19978,0.0
129614,0.0
38853,1.0
77762,0.0
22160,0.0
135826,0.0
78571,1.0
143729,0.0
8072,1.0
128681,0.0
116571,0.0
128250,0.0
103636,0.0
89029,0.0
36774,0.0
103019,0.0
50594,1.0
148600,0.0
112746,0.0
63175,0.0
5954,0.0
105876,1.0
39300,0.0
52617,1.0
73638,0.0
141312,1.0
99844,1.0
124637,1.0
83149,1.0
133321,0.0
55128,0.0
25654,0.0
115278,1.0
130640,0.0
35424,0.0
8261,0.0
76417,0.0
120957,0.0
90643,1.0
99501,1.0
41806,1.0
107539,0.0
132513,0.0
119670,0.0
105502,0.0
11420,0.0
30835,0.0
114255,1.0
122643,1.0
97529,0.0
117778,0.0
23222,0.0
99085,0.0
137297,0.0
113567,0.0
49416,0.0
20860,0.0
130752,0.0
9648,1.0
121765,0.0
13873,0.0
109042,0.0
54168,0.0
120215,0.0
105108,1.0
26625,1.0
33473,0.0
1895,1.0
6948,0.0
122741,0.0
56258,0.0
5418,1.0
23095,0.0
105831,0.0
82816,0.0
133080,0.0
8562,0.0
26077,0.0
19483,0.0
68140,1.0
2957,0.0
13943,1.0
31782,0.0
38351,0.0
38763,0.0
75187,0.0
120936,1.0
95468,0.0
61833,0.0
132308,0.0
25593,0.0
34201,0.0
29953,0.0
145581,0.0
44530,0.0
82506,1.0
53803,0.0
30466,0.0
77020,0.0
31598,0.0
114237,0.0
18992,1.0
124780,0.0
21350,0.0
97282,0.0
107172,0.0
49599,0.0
30781,0.0
113201,0.0
54892,0.0
94410,1.0
23198,0.0
11291,0.0
31602,0.0
126635,0.0
43482,0.0
33594,0.0
60850,0.0
49654,0.0
6566,0.0
68001,0.0
46300,1.0
81434,1.0
104752,0.0
132155,0.0
46758,0.0
34133,1.0
85474,0.0
34795,0.0
15067,0.0
20354,0.0
104928,1.0
35502,0.0
117934,0.0
79842,0.0
106424,0.0
48919,1.0
143915,0.0
28383,1.0
121954,1.0
45123,1.0
7058,0.0
22560,0.0
56197,0.0
100451,0.0
98101,0.0
109978,1.0
5015,1.0
77225,0.0
110313,0.0
13853,0.0
66280,1.0
129083,0.0
100514,0.0
99341,0.0
48061,0.0
72160,1.0
67144,0.0
114700,0.0
134490,0.0
73923,1.0
71116,0.0
123652,0.0
69370,0.0
73905,0.0
74601,0.0
140963,0.0
84845,1.0
38543,0.0
116463,0.0
84655,0.0
91966,1.0
24570,0.0
111938,1.0
25392,0.0
29013,0.0
43636,0.0
89869,1.0
11622,0.0
143887,0.0
4947,1.0
33518,1.0
81998,0.0
82141,0.0
101338,0.0
46435,0.0
135237,0.0
89425,1.0
118175,0.0
132921,0.0
60989,0.0
3070,0.0
24331,0.0
57595,0.0
14359,0.0
17885,0.0
18867,0.0
100497,0.0
141246,0.0
32508,0.0
61520,0.0
99295,0.0
108590,0.0
143935,0.0
123416,1.0
44718,0.0
143380,1.0
66769,0.0
132339,0.0
21142,1.0
12739,1.0
98512,0.0
128758,0.0
4407,1.0
59388,1.0
12473,1.0
71692,1.0
105596,1.0
71641,0.0
117699,0.0
143217,1.0
52934,0.0
44565,0.0
75109,1.0
9027,0.0
84042,1.0
57862,1.0
18851,1.0
49692,0.0
23019,0.0
113492,0.0
67926,0.0
18166,0.0
71245,0.0
15230,0.0
102891,1.0
126255,0.0
72142,0.0
135234,0.0
59034,0.0
96685,0.0
15360,1.0
14987,1.0
51180,1.0
99,0.0
64505,0.0
79244,0.0
51930,0.0
50744,0.0
63909,0.0
79723,0.0
59578,1.0
117201,0.0
33028,0.0
128482,0.0
76737,1.0
119209,0.0
54103,1.0
100098,0.0
98326,0.0
123978,0.0
100986,0.0
119977,0.0
123718,0.0
76163,1.0
116393,1.0
36667,1.0
139509,0.0
27731,0.0
114296,0.0
137373,1.0
31658,1.0
37033,1.0
139985,0.0
39651,0.0
131855,1.0
60440,0.0
42953,1.0
78087,1.0
89843,0.0
95653,0.0
79883,0.0
48572,0.0
4277,0.0
122702,1.0
103778,0.0
28054,0.0
97081,0.0
97933,0.0
129156,0.0
86579,1.0
71320,0.0
70839,0.0
4327,0.0
108542,0.0
24078,0.0
63245,0.0
12134,0.0
30628,0.0
102301,0.0
138215,1.0
39209,1.0
135982,0.0
148634,0.0
146309,0.0
20242,0.0
23332,1.0
17661,0.0
87891,0.0
74978,0.0
27552,0.0
93853,1.0
70948,1.0
14037,0.0
97745,0.0
93696,0.0
36726,0.0
141143,0.0
68924,0.0
66568,0.0
130725,0.0
54881,0.0
22495,0.0
67857,0.0
138827,0.0
141459,1.0
101977,1.0
5407,0.0
76701,0.0
116263,0.0
113100,1.0
44247,1.0
121137,0.0
120254,1.0
68377,0.0
62383,0.0
37969,0.0
47271,1.0
37177,0.0
14062,0.0
139863,1.0
136468,0.0
140082,0.0
28922,0.0
54536,0.0
53385,0.0
79644,0.0
104009,1.0
120728,0.0
22732,0.0
33215,0.0
128039,0.0
92371,1.0
104735,0.0
62730,0.0
61393,1.0
49735,0.0
1846,0.0
39495,1.0
41698,0.0
81823,0.0
42047,0.0
66390,1.0
113711,0.0
32231,0.0
133870,0.0
1041,0.0
96114,0.0
102200,0.0
16396,1.0
106176,1.0
95741,0.0
33970,0.0
19570,0.0
111112,1.0
140691,0.0
102769,1.0
72495,0.0
59287,0.0
45495,0.0
28459,1.0
99169,1.0
84957,0.0
117315,1.0
44220,1.0
130238,0.0
119564,0.0
19796,0.0
81069,0.0
112238,0.0
84087,0.0
83296,1.0
48677,0.0
86746,0.0
21151,1.0
142898,0.0
22582,0.0
12430,0.0
28421,1.0
72177,0.0
87839,0.0
99494,0.0
74963,0.0
2317,1.0
104976,0.0
139233,0.0
58876,0.0
107867,0.0
40651,0.0
137135,0.0
110574,0.0
23028,0.0
61382,0.0
5296,1.0
140503,0.0
8089,0.0
112859,0.0
137756,0.0
124139,0.0
125887,0.0
77749,0.0
99326,0.0
106744,0.0
133248,0.0
74951,0.0
24992,0.0
66933,0.0
101075,0.0
54459,0.0
70349,0.0
26966,0.0
98761,0.0
61285,1.0
109808,1.0
131064,1.0
143158,0.0
64845,0.0
81276,0.0
114167,1.0
67627,1.0
53650,0.0
121833,0.0
75728,0.0
71771,0.0
135046,0.0
44330,1.0
68187,0.0
93814,1.0
104245,0.0
87166,0.0
99994,0.0
120005,1.0
95598,1.0
126402,0.0
143475,1.0
111733,1.0
21333,0.0
99409,0.0
10743,0.0
68680,0.0
60931,1.0
37717,1.0
54334,0.0
29523,1.0
15441,0.0
58231,0.0
148038,1.0
73183,0.0
130557,0.0
4752,1.0
34753,1.0
45643,0.0
73611,0.0
95564,0.0
144195,0.0
148019,0.0
27195,0.0
7518,0.0
91875,0.0
141587,0.0
21283,0.0
14226,1.0
53689,1.0
57760,0.0
106165,0.0
24206,0.0
139539,1.0
50460,0.0
3298,1.0
21235,0.0
57943,1.0
83565,0.0
135911,0.0
70080,0.0
33501,1.0
122777,0.0
95030,1.0
55836,0.0
9781,0.0
80494,0.0
137437,0.0
55345,1.0
75259,0.0
13024,0.0
138370,0.0
257,0.0
28052,0.0
61204,1.0
26736,1.0
67453,1.0
70631,0.0
147792,0.0
107514,0.0
34518,0.0
89445,1.0
14679,0.0
24887,1.0
105573,1.0
92652,0.0
130776,0.0
128832,1.0
137442,1.0
104765,0.0
13439,0.0
146017,0.0
136843,0.0
146220,0.0
66416,0.0
5649,0.0
62852,0.0
147202,1.0
5091,0.0
118909,1.0
29015,0.0
9877,0.0
113881,0.0
87682,0.0
140020,0.0
137325,0.0
5791,0.0
134970,1.0
57378,1.0
22909,0.0
112291,0.0
115292,0.0
15371,1.0
7477,0.0
119186,1.0
75749,0.0
38369,1.0
146365,0.0
86408,0.0
31645,0.0
2497,0.0
9800,1.0
77317,0.0
75269,0.0
103832,0.0
60312,0.0
138612,0.0
117346,0.0
124989,0.0
46802,1.0
101465,1.0
141067,0.0
90274,1.0
3436,0.0
34700,1.0
4620,0.0
24678,1.0
110610,0.0
6525,0.0
98680,1.0
21733,0.0
105803,0.0
43897,0.0
70525,1.0
105643,0.0
95080,1.0
84640,0.0
41249,0.0
66431,0.0
70076,0.0
24612,0.0
125413,0.0
73812,0.0
43886,0.0
7141,0.0
135158,1.0
95888,0.0
130477,1.0
103858,1.0
19300,0.0
135300,1.0
12568,0.0
10231,0.0
59266,1.0
70872,0.0
79050,0.0
45164,0.0
78396,0.0
85832,0.0
28595,0.0
96938,0.0
31005,1.0
50700,0.0
51475,0.0
139753,0.0
68028,0.0
129095,0.0
88813,0.0
62099,0.0
114329,0.0
145602,1.0
37473,0.0
125963,1.0
606,0.0
3309,0.0
94548,1.0
138587,0.0
80053,0.0
105960,0.0
87718,0.0
31083,0.0
48112,1.0
67783,0.0
34398,0.0
44769,0.0
105830,0.0
84218,1.0
78646,0.0
32673,0.0
37426,1.0
27218,0.0
77561,0.0
38356,0.0
68146,1.0
4108,0.0
141868,0.0
19940,1.0
129672,1.0
132909,0.0
34928,0.0
35769,1.0
60413,0.0
58798,0.0
115659,0.0
6796,1.0
146960,0.0
48481,0.0
106430,0.0
66388,0.0
41478,0.0
88859,0.0
61456,1.0
19663,0.0
928,0.0
117169,0.0
35136,0.0
63509,0.0
125091,0.0
100677,0.0
41648,1.0
117024,0.0
117177,0.0
85597,0.0
86293,0.0
144532,0.0
59157,0.0
42676,0.0
72579,0.0
27193,0.0
62895,0.0
83022,0.0
119189,1.0
41975,1.0
30619,1.0
80056,0.0
131676,0.0
23386,0.0
102116,0.0
14191,0.0
18845,1.0
62808,0.0
89781,0.0
44323,0.0
80218,0.0
36996,0.0
16841,1.0
139091,0.0
64995,0.0
120175,0.0
43816,0.0
11976,0.0
68994,0.0
91003,0.0
123873,0.0
101345,0.0
53113,1.0
18698,0.0
42747,1.0
135333,0.0
125914,1.0
143600,1.0
129992,0.0
67639,0.0
58658,0.0
122946,0.0
38507,0.0
126466,1.0
34486,0.0
80431,0.0
51574,0.0
64570,0.0
38037,1.0
115565,0.0
128245,0.0
12505,1.0
111974,0.0
119616,1.0
75970,0.0
21290,0.0
54428,0.0
12476,1.0
127014,0.0
38014,0.0
23149,0.0
95677,1.0
32628,0.0
1273,0.0
145662,1.0
84011,1.0
98234,1.0
128437,0.0
3418,0.0
119241,1.0
76166,0.0
139800,1.0
67134,0.0
75777,0.0
82079,0.0
22781,1.0
30824,0.0
23125,0.0
63784,0.0
73752,0.0
26427,0.0
116197,0.0
50720,1.0
59224,0.0
53561,0.0
72898,0.0
29934,1.0
29762,0.0
141935,1.0
79147,0.0
145082,0.0
93427,0.0
23593,1.0
47842,0.0
108719,0.0
62846,0.0
33878,0.0
7941,1.0
94982,0.0
129069,0.0
136516,1.0
69722,0.0
139077,0.0
36704,0.0
143838,1.0
54020,0.0
144445,0.0
74921,0.0
123796,0.0
29213,0.0
79774,0.0
50653,0.0
16497,0.0
126089,0.0
80753,1.0
3667,1.0
133120,0.0
145227,1.0
138314,1.0
10039,0.0
6386,0.0
96677,1.0
71328,1.0
45730,0.0
147997,1.0
5275,1.0
37592,1.0
17978,0.0
33641,0.0
1787,0.0
47305,1.0
62091,1.0
139454,0.0
89741,0.0
61760,0.0
73826,0.0
85622,0.0
75189,0.0
34325,1.0
1079,0.0
13487,0.0
69959,0.0
119756,0.0
58355,0.0
14216,0.0
122921,1.0
127406,1.0
55798,1.0
115936,0.0
128668,1.0
14386,1.0
115807,0.0
111995,0.0
123771,0.0
14826,1.0
34547,0.0
67905,1.0
112133,1.0
73767,0.0
132166,1.0
19699,0.0
44473,0.0
124330,0.0
28835,0.0
85902,1.0
88612,1.0
89932,0.0
109453,1.0
127714,0.0
440,1.0
49076,0.0
74132,0.0
83354,1.0
29097,0.0
11311,0.0
147010,0.0
53423,0.0
87930,0.0
27427,0.0
44231,0.0
109640,0.0
69532,0.0
115838,0.0
147026,0.0
67035,0.0
32746,0.0
96954,0.0
36637,0.0
89756,0.0
77417,0.0
97912,0.0
15635,0.0
41062,0.0
88587,1.0
15130,0.0
11984,0.0
1662,0.0
66897,0.0
143851,0.0
70854,1.0
103503,1.0
8354,0.0
55670,0.0
77150,0.0
108780,0.0
137796,0.0
38201,0.0
13009,1.0
135077,1.0
78672,0.0
122368,0.0
27351,1.0
145406,0.0
143925,0.0
71420,1.0
84562,0.0
103239,0.0
25706,0.0
80944,1.0
51300,0.0
22378,0.0
19710,0.0
144331,0.0
9742,0.0
135469,0.0
61518,0.0
57118,0.0
108360,1.0
140818,0.0
93436,0.0
118271,0.0
50420,0.0
74775,1.0
29876,0.0
34985,0.0
15253,0.0
40440,0.0
2258,0.0
11442,1.0
18643,1.0
90211,0.0
52892,0.0
147302,0.0
133726,0.0
143175,0.0
79554,0.0
65078,1.0
76867,1.0
42548,0.0
59822,1.0
110972,1.0
125721,1.0
133694,1.0
65798,0.0
79615,0.0
108949,1.0
84931,1.0
51309,0.0
96697,0.0
127919,1.0
88340,1.0
93023,1.0
78940,0.0
28499,1.0
127433,0.0
23004,0.0
14238,1.0
79482,0.0
59842,0.0
47045,0.0
138474,0.0
45502,0.0
75974,0.0
110119,0.0
87097,1.0
68897,0.0
39673,0.0
88322,0.0
7362,0.0
47403,0.0
124590,0.0
4298,0.0
90199,0.0
65232,1.0
53197,0.0
100633,1.0
508,1.0
77451,0.0
75510,0.0
22784,0.0
13691,0.0
6417,0.0
47237,0.0
124953,0.0
68960,0.0
73134,0.0
44594,0.0
130749,0.0
78369,0.0
19634,0.0
38641,1.0
100938,0.0
84971,0.0
133769,0.0
78586,0.0
115312,0.0
138486,0.0
147362,0.0
146452,0.0
90457,0.0
134893,0.0
93867,1.0
306,1.0
45648,0.0
87414,1.0
146777,0.0
104711,0.0
107572,0.0
113833,1.0
30186,1.0
78724,1.0
102163,0.0
68309,0.0
48465,0.0
44601,0.0
126258,1.0
140090,0.0
44176,1.0
13546,1.0
31198,1.0
137988,0.0
13612,1.0
30987,0.0
30214,0.0
55959,0.0
36414,1.0
98894,1.0
74086,0.0
78421,1.0
90591,0.0
107551,0.0
51964,1.0
84986,0.0
106421,0.0
28808,0.0
82151,1.0
141599,0.0
11797,0.0
60558,1.0
130489,0.0
28455,0.0
89638,0.0
106436,0.0
17369,1.0
5458,0.0
9426,0.0
6485,1.0
26853,0.0
148445,0.0
134948,0.0
103405,1.0
15948,0.0
142881,0.0
43180,0.0
780,1.0
106673,0.0
126074,0.0
99885,0.0
120885,0.0
69109,0.0
116244,0.0
105746,0.0
137388,0.0
31106,0.0
68737,1.0
58594,0.0
72215,1.0
25295,0.0
49909,1.0
126851,0.0
111803,1.0
117553,0.0
40926,0.0
8828,0.0
51738,0.0
2391,0.0
60762,0.0
87791,0.0
108785,0.0
22306,1.0
119838,0.0
9179,1.0
47579,0.0
129618,0.0
80974,0.0
28082,1.0
69653,0.0
36891,1.0
44509,0.0
56698,1.0
110867,0.0
133281,1.0
59197,0.0
28900,0.0
68725,1.0
135951,1.0
17831,1.0
70007,0.0
120743,0.0
83813,0.0
10289,0.0
23631,0.0
104889,0.0
24463,1.0
147198,0.0
87478,0.0
82734,1.0
64665,0.0
59468,0.0
132012,0.0
55463,0.0
16123,1.0
62127,1.0
4126,0.0
40160,0.0
40357,1.0
141078,0.0
3001,1.0
39626,0.0
1396,0.0
51898,0.0
83130,0.0
86632,0.0
5363,0.0
1067,0.0
67977,1.0
48913,0.0
85494,0.0
102482,1.0
82659,0.0
79292,1.0
80962,0.0
53116,0.0
141095,0.0
87017,0.0
143921,0.0
141438,0.0
114985,0.0
43806,0.0
100368,0.0
69883,0.0
10804,0.0
103067,1.0
47907,0.0
26072,0.0
97381,0.0
50542,1.0
110697,0.0
115567,0.0
61279,0.0
12107,0.0
51485,0.0
79439,0.0
89612,0.0
21137,0.0
67415,0.0
47616,1.0
145481,1.0
132106,1.0
24929,0.0
93762,1.0
5326,1.0
136849,1.0
96526,0.0
104400,0.0
22232,0.0
137578,0.0
15813,0.0
105434,0.0
141669,0.0
145946,0.0
121772,0.0
61419,0.0
60387,0.0
32477,0.0
116872,0.0
138991,0.0
89008,0.0
116259,0.0
72645,1.0
137819,0.0
86255,1.0
76967,0.0
140379,0.0
147482,1.0
145187,0.0
63448,0.0
133454,1.0
55591,1.0
114937,0.0
11144,1.0
91506,0.0
74019,0.0
94405,1.0
86317,0.0
63928,1.0
146387,0.0
55421,0.0
39920,0.0
87868,0.0
57318,0.0
65485,0.0
47949,0.0
34840,0.0
23247,0.0
77858,0.0
50965,1.0
121926,0.0
49569,0.0
37486,1.0
41966,1.0
148160,0.0
84490,1.0
145923,1.0
48649,1.0
140651,0.0
49645,0.0
34408,0.0
140100,0.0
58576,0.0
58517,0.0
44576,1.0
78943,1.0
104439,0.0
139465,0.0
41536,0.0
1027,0.0
145543,0.0
73911,0.0
64811,0.0
148775,1.0
52268,1.0
126108,0.0
4815,0.0
85917,0.0
114464,0.0
38341,0.0
86181,1.0
1901,1.0
148613,0.0
82100,0.0
131320,0.0
114763,1.0
71060,0.0
